category_id,movies_id
2,70033643
2,80064459
2,70074299
2,70057519
2,70173046
2,81024703
2,80227777
2,70101375
2,81014988
2,70206823
2,70303426
2,80013271
2,80223731
2,80189216
2,80106737
2,81168344
2,81038047
2,80198687
2,81057246
2,70149579
2,81037373
2,81090899
2,80093107
2,81002211
2,855084
2,80221560
2,80084666
2,80022605
2,80174451
2,80192097
2,80168222
2,80190841
2,81217738
2,80013550
2,80080618
2,70171835
2,80203792
2,70301275
2,80244640
2,80195885
2,70023961
2,80017170
2,80198859
2,80226962
2,80038446
2,81034575
2,81177371
2,70176967
2,81086641
2,81035751
2,80032473
2,70122316
2,80156683
2,81177367
2,80017261
2,81016337
2,81075235
2,60037022
2,80106505
2,80998967
2,80199962
2,80108952
2,70155788
2,70084775
2,81168346
2,81035749
2,81035870
2,80147321
2,81168341
2,80134887
2,80170767
2,80115134
2,80175332
2,70253597
2,81002866
2,80013547
2,80171528
2,70063017
2,81045060
2,80996349
2,70206818
2,81045069
2,80193614
2,81031181
2,80997862
2,81077451
2,80141185
2,80173605
2,24081514
2,80204119
2,80166319
2,80098288
2,80134721
2,70243692
2,80017286
2,81047510
2,80032474
2,70242568
2,81048561
2,81035875
2,81024729
2,80226357
2,81013710
2,80147323
2,70229044
2,81051693
2,80121387
2,81069254
2,81057249
2,70101696
2,80176707
2,80192149
2,11819434
2,81044299
2,81164636
2,1151188
2,70139074
2,81003058
2,80135149
2,80167648
2,80221637
2,80081374
2,80099083
2,80991026
2,80245519
2,70118368
2,80238607
2,81016321
2,81177504
2,60001404
2,80191294
2,80017275
2,80238292
2,81024332
2,80189630
2,80057565
2,80131280
2,80174434
2,80997402
2,80222823
2,70039783
2,81018377
2,81024711
2,70117299
2,80150502
2,70243696
2,81016342
2,81217743
2,70202336
2,20712279
2,80017528
2,80174727
2,80171247
2,17969262
2,80156769
2,70100377
2,80087352
2,80121843
2,80990814
2,80182447
2,60000440
2,80180225
2,70270775
2,70297799
2,70309693
2,81039410
2,80243541
2,81024100
2,70124562
2,60003405
2,80109193
2,80184770
2,80106989
2,70071832
2,81074015
2,70275600
2,607931
2,70045863
2,81001887
2,60003097
2,60001407
2,80134604
2,70044605
2,80990725
2,80170992
2,80149282
2,80201497
2,80178280
2,81024728
2,80184676
2,80994443
2,80244311
2,80167647
2,80201815
2,81133621
2,70031779
2,80041653
2,81043473
2,60022413
2,80201608
2,81010865
2,70271454
2,80190101
2,80177865
2,80225595
2,80988062
2,80202076
2,80216302
2,80084454
2,80235025
2,80014996
2,80123742
2,70067230
2,81038046
2,80238204
2,80184135
2,81150305
2,80224362
2,80103383
2,80207606
2,80990816
2,80236279
2,70189289
2,80161104
2,80038420
2,81155784
2,81091423
2,80993656
2,81035731
2,80245329
2,70258366
2,81092045
2,81086640
2,80211371
2,81062606
2,70074315
2,80158395
2,80176716
2,80223050
2,81165786
2,81030197
2,80190859
2,80079470
2,80117082
2,81050193
2,81028570
2,70130445
2,80155477
2,81217737
2,81168348
2,80095197
2,70068739
2,70112732
2,70184051
2,81172756
2,80117458
2,81020508
2,70268489
2,70175439
2,81004374
2,80103512
2,80049358
2,70242536
2,70077544
2,80173002
2,80135164
2,81035750
2,81044496
2,80082739
2,80215782
2,80134519
2,80161850
2,80017280
2,80201626
2,80071907
2,80122177
2,81083791
2,80156935
2,80190215
2,81035109
2,80239442
2,80159877
2,81217438
2,80167628
2,80201612
2,80165849
2,80218784
2,70301279
2,70120340
2,81213874
2,80171125
2,80119249
2,70001564
2,80106140
2,80241071
2,80203778
2,81004099
2,81063743
2,81172897
2,81000860
2,80057691
2,80201817
2,80085566
2,80242446
2,70209245
2,80188883
2,80126996
2,80015794
2,80238637
2,80993648
2,81011936
2,80997859
2,81012295
2,80994011
2,81036539
2,80174137
2,70044686
2,60022998
2,81047899
2,81235729
2,80121348
2,70099120
2,70289558
2,81016338
2,70295170
2,80998568
2,81082007
2,70303496
2,80228322
2,81076749
