movies_id,persons_id
70114588,8431
70185139,8438
80232501,8445
80210147,8454
80224606,8456
80058851,5073
70241088,8479
70068799,3872
70229044,4020
70254349,8491
70254342,8493
80084838,8497
70254346,8499
70229040,5259
70056663,8506
80067906,3443
70071832,5098
70273401,7627
80097390,8518
70106268,8525
70109758,8542
70123126,8547
70303431,8551
70254351,8555
70275076,8558
80189997,8560
81015100,8564
81025404,8569
70060017,8577
70266675,8584
80155792,8586
70108590,8595
70185141,8601
80201826,8606
80158388,8614
80203778,8621
80201820,8626
80103312,8631
80205563,8638
80208211,8646
80203791,8647
80032364,8671
80203786,8674
80032097,8681
80174727,8696
80201827,8716
80179288,8722
80203780,8729
80211371,8497
80144358,8740
80097360,3506
80097360,3507
80006168,8766
60000545,8774
80025702,8780
80128692,8787
80128692,8788
80156369,8789
1145882,8797
70288423,8802
70290568,8806
70290568,8807
70141644,8809
81035836,8819
81044103,8824
81072917,8826
70142542,8831
81035845,8850
81035856,8854
81035857,8861
80134780,8865
80221308,8912
80213657,758
80217133,8918
80106754,8926
80059440,8927
81074375,8952
80116761,8963
80116761,8964
70118125,8965
80108613,8974
80215139,8975
81016592,8976
81067760,8982
70172928,6927
80101493,3567
80235472,9005
80177300,9020
80189866,2937
80106793,4823
80124727,4240
80124727,7748
80117263,9046
80087897,9058
70084180,9067
80195964,9086
80213024,9093
80210691,9094
80210691,9095
80244782,9096
80144280,9100
80209866,9108
80241666,9115
80167648,9122
80202874,9140
70109249,9146
80993095,9146
70045644,9164
70025612,9170
80160033,9177
81111849,9185
80083930,9191
80083752,9195
70185023,9199
70185023,9200
80189827,9219
80176144,9221
70202150,9222
81010699,9234
70299863,9243
80133554,9245
80208662,9247
80994596,9248
81031939,9266
81028570,9275
81035867,9284
80244640,9288
80999729,9295
80992499,9316
80148223,9325
80176342,5115
80038162,9330
80038162,9331
81087094,9332
80221447,6987
80221447,9338
70242063,9348
80063265,9370
81034931,9376
80167459,9393
80169348,9394
80164778,9395
80068327,8282
80087933,9401
80084666,9405
80192137,7748
80192137,4240
80195049,9411
80186850,6121
80117765,9415
81002195,9420
81046255,9422
80211638,9444
80220758,9458
81036190,9459
81036190,6875
80165083,9465
80134781,7661
80244680,9478
81057229,9479
80151384,9493
80131167,9518
80038335,7627
80011852,9551
80121348,9553
81011598,9561
81005364,9562
81076042,9564
81035880,9565
81103139,9575
70143369,9580
81096151,9609
70259801,1619
80990658,9624
80133663,9632
80117082,9633
81043473,3705
80182919,9644
80182919,9645
80115466,9664
80142223,9671
80080768,2963
81061407,9677
80161216,9682
80161216,9683
80218111,9688
81077863,9697
81077851,9697
81073590,9697
81103108,9698
80191050,9709
81041271,9710
80216758,9712
70083809,9720
80028529,9728
70154110,9737
80998967,9744
60021906,9761
70142827,9765
70149579,8542
70109375,9774
70289558,3872
81085319,9783
70117577,9786
20258084,9800
80233511,9806
80097814,9807
70241757,9812
80133551,2526
81110388,9815
81110388,9816
80220311,9824
81110389,9831
70111279,9843
81123050,9848
70035357,9866
80108481,9869
70153178,3872
70073018,9774
80243408,8360
80994418,9889
70050576,9896
80157133,2154
80107656,9921
80157083,9922
80059342,9932
24081514,2154
80157564,9943
80178078,9954
80178078,9955
80104330,9959
80104330,9960
81053958,9962
81094666,1694
81016247,9993
81065331,10002
80186940,3567
80120740,4822
81077874,10010
80117736,10017
80114666,10024
80114666,10025
80114666,10026
80157866,10028
80161029,10038
81039410,10047
81012340,10053
70242536,10061
80192065,7748
80192065,4240
80158319,10072
80158319,10073
80143556,7099
81092777,10080
81092779,10081
81092779,10082
81092776,10082
81092776,10090
81092778,10090
81092778,10082
80216541,948
80194950,1778
70261058,10122
70204288,10129
70293703,10138
80165853,10146
80161108,10153
80082660,10161
80028359,2937
81076049,10177
60031264,10179
81059956,10184
81059956,10185
81094667,10193
81069255,10200
81094083,10203
80208082,10207
81080637,10209
80197303,10211
81049260,10212
81017593,10217
81093342,10238
70056441,10246
419733,6373
419733,10250
81021631,10259
80241044,10268
80213148,10276
80993495,10283
80192548,10300
80232894,10307
80232894,10308
80103425,10315
80170875,10320
80990815,10325
80990816,10328
80990829,10340
80238110,10342
80241876,10343
80241876,10344
80990811,10346
80206732,10364
80990810,10368
80235767,10378
80236224,10381
80236224,10382
80990814,10383
80245268,10394
80223149,10416
80179373,10418
80233962,10422
80990813,3215
80220531,10437
80134149,10445
80115133,10450
80176698,1322
80165848,10464
70275753,10470
70275753,8542
70275753,9155
70275753,5035
70295762,10473
80165849,10474
80158395,9154
70275774,9761
80103430,10483
80103430,10484
80165850,10487
80103372,2378
80068117,8525
20764666,10500
80165851,10506
70129415,10509
70129415,10510
70129415,10511
70129415,10512
70129415,10513
70129415,10514
70129415,10515
70129415,10516
70129415,10517
70129415,10518
70129415,10519
70129415,10520
80095094,10525
80095094,10526
80156763,10528
80156857,6614
70268489,10540
80158588,10551
80178720,2433
80106505,10560
80169548,10563
80015785,10564
80097361,10572
80176716,10576
80132961,10581
80165857,10582
70258366,8431
80165732,10586
80165854,10591
80083589,10591
80032081,10597
17457962,10602
80182105,10606
80182105,10607
80165855,10608
70273637,8360
70176968,9562
80173605,10614
80173605,10615
80165856,10622
70308135,9866
80101903,10630
80102305,10637
80102305,10638
70176655,9962
80161848,10644
80209796,10659
80152434,10666
70309693,10672
80107737,10674
80098305,10676
80152742,10677
80107370,10687
70270362,10709
81074140,10723
80184676,10747
81024044,10753
60023618,4779
70113532,3542
70074299,10773
80995799,10782
80219143,10796
17687959,10797
80189630,10808
81010874,10823
80075018,10825
70260374,9115
80190180,10846
80190180,10847
80150002,10852
80079265,10853
80238080,10866
296682,2885
60037606,2885
516154,2885
80170187,1655
80174137,9475
80038296,8808
80011848,10908
70100381,10913
80221560,10940
80200961,10945
80214580,10955
80049193,10969
81004270,10987
81004270,10988
80224924,1618
70051671,10992
80144408,10998
81038545,11007
80235932,11022
80235932,11023
80235932,725
80235932,724
80176592,11044
80170381,11052
80142103,11055
80152842,11062
80049928,11067
70296765,11069
80119190,11071
80119190,11072
80119187,7173
80048568,11075
80119192,11081
60027945,11071
80119188,7173
60027942,11087
80115857,9243
70281026,11092
80119194,11115
80119191,11116
80119193,11115
80119193,11117
80119189,11071
80119189,7173
80119189,11120
80119189,11121
80119189,11122
80119186,11087
70013050,11071
70013050,11124
70022548,7173
80097423,11125
80097423,11126
70259177,11128
80117458,11141
80143362,11147
80201200,11153
80183197,7748
80183197,4240
80148210,11165
70128549,11173
70069233,11173
80018336,11182
80180509,11186
80145255,11192
70230147,11200
80105067,11211
81033429,11222
80188579,11231
80992232,11240
80145533,11268
80999977,11273
70129463,2261
