country_id,movies_id
2,80133663
2,80161931
2,70104313
2,80049928
2,80177405
2,80241986
2,81091015
2,80152745
2,80162179
2,80062112
2,60024976
2,80112371
2,80170277
2,81018455
2,70143865
2,80093198
2,80169617
2,80077417
2,80232404
2,70206820
2,80076160
2,60002033
2,60011729
2,80176064
2,70024088
2,80057883
2,1180086
2,80104240
2,80996791
2,80073100
2,80157242
2,80166319
2,80039813
2,70058025
2,81009815
2,70048968
2,70099120
2,70206816
2,70104894
2,70011211
2,81121183
2,70206822
2,80211648
2,80171291
2,70056663
2,70132228
2,70060000
2,80177346
2,80117542
2,60028097
2,848915
2,80083594
2,80124522
2,80003150
2,70209267
2,81050198
2,80190149
2,70285683
2,70108017
2,408911
2,80223997
2,70111265
2,70266684
2,80222042
2,81012943
2,81018634
2,80038337
2,80117461
2,80045925
2,80126449
2,70137790
2,70117902
2,22007250
2,80230561
2,81145271
2,80010717
2,81050191
2,70261273
2,81003460
2,70044688
2,80232329
2,15815343
2,80208793
2,80011206
2,70213077
2,80169786
2,81011598
2,81038022
2,60037606
2,70105130
2,80231903
2,80114915
2,80095089
2,60010487
2,80097361
2,80225696
2,70105368
2,70044605
2,80163156
2,80117453
2,372195
2,70077556
2,80233419
2,70185015
2,70077542
2,80173271
2,80106743
2,80048977
2,80202920
2,80115673
2,80185178
2,81121182
2,18021979
2,81167490
2,80097466
2,80999977
2,70039187
2,70189289
2,80168189
2,80106307
2,80157073
2,80017535
2,80128691
2,1151188
2,80211638
2,80189646
2,80214581
2,80150002
2,80097360
2,80117498
2,80238013
2,80008257
2,80175685
2,80182411
2,80044834
2,80993404
2,81019894
2,80053653
2,80988793
2,81156627
2,18907685
2,70099118
2,81027384
2,81078466
2,70242899
2,81193616
2,70077076
2,80993489
2,80185003
2,80191045
2,70293417
2,81103108
2,81127333
2,80135276
2,80990849
2,80220814
2,80049871
2,81010212
2,80168198
2,80999455
2,60022914
2,80179762
2,80197889
2,70123542
2,81029570
2,80080617
2,81045511
2,81053953
2,81026677
2,81008236
2,80131616
2,81070659
2,81169914
2,80117470
2,80223556
2,70100381
2,80134527
2,80190147
2,80176179
2,60033108
2,60020236
2,81235729
2,81016914
2,80161109
2,1008581
2,70113538
2,81045499
2,80117811
